day,trades,net,entry_thr,cal_net,skipped
2020-10-09,2,-201.62806933241853,0.6,1043.0,False
2020-10-12,0,0.0,0.8,0.0,True
2020-10-13,0,0.0,0.8,0.0,True
2020-10-14,0,0.0,0.8,0.0,True
2020-10-15,1,-847.0381124169046,0.6,61.0,False
2020-10-16,0,0.0,0.8,0.0,True
2020-10-19,0,0.0,0.8,0.0,True
2020-10-20,0,0.0,0.8,0.0,True
2020-10-21,0,0.0,0.7,1926.0,False
2020-10-22,4,-4225.622643813498,0.6,8908.0,False
2020-10-23,0,0.0,0.8,0.0,True
2020-10-26,2,-3814.516596830285,0.6,773.0,False
2020-10-27,0,0.0,0.8,0.0,True
2020-10-28,0,0.0,0.8,-1900.0,True
2020-10-29,0,0.0,0.8,0.0,True
2020-10-30,0,0.0,0.8,0.0,True
2020-11-02,0,0.0,0.8,0.0,True
2020-11-03,0,0.0,0.8,0.0,True
2020-11-04,2,105.56693062908266,0.75,653.0,False
2020-11-05,3,-529.8356322122668,0.7,1607.0,False
2020-11-06,0,0.0,0.8,0.0,True
2020-11-09,0,0.0,0.8,0.0,True
2020-11-10,0,0.0,0.7,958.0,False
2020-11-11,5,-285.2037923235646,0.6,1733.0,False
2020-11-12,8,-1493.068285779473,0.6,1549.0,False
2020-11-13,0,0.0,0.8,-304.0,True
2020-11-14,0,0.0,0.8,0.0,True
2020-11-17,0,0.0,0.8,0.0,True
2020-11-18,1,-2163.541837823608,0.6,2389.0,False
2020-11-19,0,0.0,0.8,0.0,True
2020-11-20,0,0.0,0.8,0.0,True
2020-11-23,4,-2608.713385247777,0.6,3859.0,False
2020-11-24,0,0.0,0.8,0.0,True
2020-11-25,5,168.06252673731717,0.6,424.0,False
2020-11-26,8,-2354.5490452176327,0.6,3203.0,False
2020-11-27,0,0.0,0.8,0.0,True
2020-12-01,0,0.0,0.8,0.0,True
2020-12-02,0,0.0,0.8,0.0,True
2020-12-03,0,0.0,0.8,0.0,True
2020-12-04,0,0.0,0.8,0.0,True
2020-12-07,0,0.0,0.8,0.0,True
2020-12-08,2,329.4068527397174,0.8,678.0,False
2020-12-09,0,0.0,0.75,3527.0,False
